品类,场景,问题(开发者视角),候选选项,为什么问(大白话),来源
扫描/影像,识别时机,"你希望细胞分类是边拍边分,还是拍完再分?",边拍边分;拍完再分,"决定是挂推理管线拖慢扫描,还是扫完跑后台。第一大分叉",@实弹-扫描
扫描/影像,分类粒度,"你要的分类到哪一档?",粗分类(有核/无核/巨核);细分类(40分类骨髓学),,"粗分类20X已在做,100X重复意义不大;细分类才值钱但难度成本跳升",@实弹-扫描
扫描/影像,结果用途,"分类结果给谁看、用来干嘛?",自动出报告数字;辅助技师人工确认,"出报告则准确率要求极高,错一个细胞错一个计数;辅助则容错大",@实弹-扫描
扫描/影像,模型现状,"40分类的模型,现在是什么状态?",已训练好有数据;还没做要留接口,"决定第一版是做成,还是把接口留好等模型",@实弹-扫描
扫描/影像,性能,"结果晚一点出能接受吗?分类会不会拖慢扫描?",必须不阻塞扫描;可以稍后出,"阻塞式要GPU够快;异步拍完慢慢分,扫完出结果",@实弹-扫描
扫描/影像,医生改判,"医生看报告时会改判吗?",直接信AI不改;会复核改判,"医生会改判就有免费学习机器,改判回写训练数据",@实弹-扫描
扫描/影像,结果展示位置,"识别完一个细胞,结果要显示在哪?",左上角小窗口实时闪;不打断存记录,"实时弹200次窗会烦死,先定位置再定要不要显示",@实弹-UI追问反馈
扫描/影像,弹窗策略,"每识别一个细胞都要弹窗提示吗?",全程静默;只弹异常低置信度,"弹窗200次烦死;只弹异常才能引起技师注意",@实弹-UI追问反馈
扫描/影像,统计触发,"你选区后'一瞬间知道构成',是自动弹统计还是点按钮?",框完自动弹;手动点统计按钮,"决定选区交互是自动查询缓存还是手动触发",@实弹-扫描
扫描/影像,报告改判体现,"医生改判后,报告上怎么体现?",AI计数和医生修正两栏并排;直接以医生为准,"决定报告结构和数据流里存哪个结果",@实弹-UI追问反馈
扫描/影像,改判回写,"医生改判的结果,要不要回写成训练数据?",要回写越用越准;不回写,"不回写模型永远停留在买来的水平",@实弹-扫描
扫描/影像,坐标换算,"细胞位置怎么换算成真实距离?像素→物理的基准有吗?",已有标定;要新建换算,"决定坐标存储格式,选区和跨片对位全靠它",@MC01需求
扫描/影像,缓存库,"缓存库存的是原始识别结果还是最终确认结果?",原始结果;最终确认结果,"决定选区查询返回什么,以及和正式库的关系",@设计思考
扫描/影像,异常处理,"识别失败或低置信度怎么办?要提示操作员吗?",忽略;标记待人工复核,"医疗场景漏一个细胞可能误报告,异常必须兜底",@设计思考
扫描/影像,中止处理,"扫描中止/覆盖时,缓存库怎么办?",保留等重扫;清空,"选区和扫描都要读缓存,中止不清会脏数据",@设计思考
UI/登录,使用场景,"这个登录界面是谁在用?",值班技师;开机操作员;开发调试,"技师要快,开机操作员可以慢,决定美观/效率谁优先",@实弹-登录
UI/登录,登录频率,"技师每天是'天天登录'还是'开机一次就挂着'?",开机登录保持;频繁登录/超时退出,"一次见一次可做正式大气;频繁就要极简快",@实弹-登录
UI/登录,登录方式,"账号怎么登录?有几种方式?",纯账号密码;账号+记住密码;将来加扫码刷卡,"扫码刷卡影响登录框旁边布局,现在设计就得留位",@实弹-登录
UI/登录,界面现状,"你觉得'太普通'具体是哪不满意?",纯白底太素;颜色排版乱;缺产品信息;说不清,"定位不满意的点,决定是微调还是重设计",@实弹-登录
UI/登录,改动幅度,"你想微调现在的界面,还是重新设计一版?",微调;重新设计,"决定接下来的工作是改细节还是从布局画起",@实弹-登录
UI/登录,显示信息,"登录界面要显示哪些信息?",产品名型号;版本号;合规提示;仅账号密码,"医疗器械常要求产品名版本号合规提示,不是可选",@实弹-登录
UI/登录,配色方向,"你希望配色走什么方向?",沉稳深色医疗质感;亮色现代,"医疗设备普遍深色,暗室强光都看得清",@实弹-登录
UI/登录,字号要求,"界面字号有要求吗?隔多远看屏?",隔一段距离看屏要大字号;近距离操作正常,"医疗设备常隔距读屏,字号小是'普通'的根源",@设计思考
UI/登录,工牌登录,"将来要支持医院工牌扫码/刷卡登录吗?",要预留位;暂不,"医院用工牌是刚需,UI现在就留位以后不返工",@实弹-登录
